zoneid,areatype05,areatype10,areatype15,areatype20,areatype30,areatype35,areatype40,ciacre05,ciacre10,ciacre15,ciacre20,ciacre30,ciacre35,ciacre40,resacre05,resacre10,resacre15,resacre20,resacre30,resacre35,resacre40,sfdu05,sfdu10,sfdu15,sfdu20,sfdu30,sfdu35,sfdu40,mfdu05,mfdu10,mfdu15,mfdu20,mfdu30,mfdu35,mfdu40,terminal05,terminal10,terminal15,terminal20,terminal30,terminal35,terminal40,oprkcst05,oprkcst10,oprkcst15,oprkcst20,oprkcst30,oprkcst35,oprkcst40,prkcst05,prkcst10,prkcst15,prkcst20,prkcst30,prkcst35,prkcst40,FID
774,4,4,4,4,4,4,4,197,197,197,197,197,197,197,303,318.93704,323.48941,323.48941,324.15244,329.40027,329.57684,1151,1475,1475,1475,1463,1462,1462,1276,875,1002,1002,1094,1300,1311,1.43666,1.34514,1.37855,1.39495,1.41978,1.43599,1.43974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742
775,4,4,4,4,4,4,4,56,56,56,56,56,56.06836,56.06836,568,568,568.18134,568.18134,568.18134,568,570.83575,2051,2109,2109,2109,2109,2109,2107,946,898,925,925,925,927,1104,1.18723,1.19863,1.21093,1.2193,1.22831,1.22999,1.23876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743
619,4,4,4,4,4,4,4,30,30,30,30,30,30,30,222,221,221,221,221,221,221,1520,1519,1519,1519,1519,1519,1519,14,13,13,13,13,13,13,1.29825,1.34578,1.38071,1.39442,1.42124,1.42839,1.43848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744
776,4,4,4,4,4,4,4,146,146,146,146,146,146,146,353,353,353,353,353,353,354.46082,1574,1383,1383,1383,1383,1381,1381,790,1032,1032,1032,1032,1038,1146,1.23163,1.22895,1.24101,1.25168,1.25626,1.25588,1.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745
620,4,4,4,4,4,4,4,94,94,94,94,94,94,94,105,105,105,105,105,105,105,1016,1009,1009,1009,1009,1009,1009,79,82,82,82,82,82,82,1.40133,1.42187,1.46834,1.48676,1.52576,1.5384,1.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746
777,2,2,2,2,2,2,2,236,241.02208,241.02208,241.02208,241.02208,238,238,104,107.66513,107.66513,107.66513,107.66513,147.43311,161.84727,159,120,120,120,120,1323,1323,1988,2397,2397,2397,2416,2523,3554,1.84575,2.239,2.40907,2.36862,2.32285,2.29118,2.29646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747
621,4,4,4,4,4,4,4,61,61,61,61,61,61,61,158,158,158,158,158.43361,158.43361,158.43361,954,970,970,970,1132,1132,1132,249,263,263,263,261,261,261,1.3659,1.42933,1.43572,1.45701,1.53142,1.53873,1.55067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748
778,4,4,4,4,4,4,4,226,226,226,226,226,226,226,458,483,485.49167,509.26184,516.20972,541.1709,567.67194,1846,1702,1775,1775,1845,1842,1889,3125,3079,3112,5818,6295,8806,11569,1.60813,1.64888,1.68094,1.84639,1.85587,1.96315,2.06054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749
622,4,4,4,4,4,4,4,49,49,49,49,49,49,49,286,286,286,286,286,286,286,1450,1443,1443,1443,1443,1443,1443,99,101,101,101,101,101,101,1.24558,1.22046,1.23169,1.24509,1.25447,1.25306,1.25517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750
779,4,4,4,4,4,4,4,16,16,16,16,16,16,16,362,364,364,364,364,364,364,1615,1494,1494,1494,1494,1494,1494,28,185,185,185,185,185,185,1.18939,1.19764,1.20853,1.21418,1.22315,1.22457,1.22642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751
623,4,4,4,4,4,4,4,16,16,16,16,16,16,16,343,348,348,348,348,348,348,1902,1890,1890,1890,1890,1890,1890,130,132,132,132,132,132,132,1.25945,1.24841,1.26384,1.2749,1.29032,1.2958,1.3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752
780,4,4,4,4,4,4,4,46,46,46,46,46,46,46,529,532,532,532,532,532,532,1003,1046,1046,1046,1046,1046,1158,17,2,2,2,2,2,2,1.04297,1.02629,1.03098,1.03658,1.03933,1.03893,1.04885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753
624,4,4,4,4,4,4,4,6,6,6,6,6,6,6,154,154,154,154,154,154,154,855,847,847,847,847,847,847,0,0,0,0,0,0,0,1.2527,1.24207,1.26187,1.27781,1.29665,1.30169,1.31017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754
781,4,4,4,4,4,4,4,60,61,61,61,61,61,61,597,635,635,635,635,635,635,1249,1535,1535,1535,1535,1535,1535,255,128,128,128,128,128,128,1.03046,1.03571,1.04037,1.0442,1.04722,1.04861,1.04955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755
625,4,4,4,4,4,4,4,25,25,25,25,25,25,25,241,220,220,220,220.90358,220.90358,227.61006,1386,1188,1188,1188,1201,1201,1201,426,562,562,562,579,579,862,1.37179,1.43126,1.44476,1.46838,1.48269,1.48384,1.57605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756
626,4,4,4,4,4,4,4,62,62,62,62,62,62,62,291,292,292,292,292,292,292,1292,1285,1285,1285,1285,1285,1285,10,9,9,9,9,9,9,1.17914,1.17858,1.19464,1.20216,1.21957,1.22566,1.22973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757
